image,accuracy,cer,wer,confidence,missing
degraded_000.png,89.7,12.7,22.1,98.2,13
degraded_001.png,0.0,98.5,100.0,52.2,144
degraded_002.png,85.7,32.2,45.2,95.4,12
degraded_003.png,50.7,75.3,96.8,82.8,112
degraded_004.png,52.2,43.5,75.6,87.3,25
degraded_005.png,0.0,98.9,100.0,75.4,136
AVERAGE,46.4,60.2,73.3,,
