category,accuracy,cer,wer
degraded,46.4,60.2,73.3
printed,82.0,41.4,58.1
dense_text,85.6,29.2,44.6
handwritten,14.4,70.9,93.0
receipts,97.1,18.6,26.5
scene_text,50.0,17.8,50.0
