image,accuracy,cer,wer,confidence,missing
handwritten_000.png,14.3,50.0,85.7,76.0,6
handwritten_001.png,11.1,69.7,88.9,61.8,8
handwritten_002.png,50.0,70.3,83.3,90.2,3
handwritten_003.png,0.0,57.6,100.0,86.1,7
handwritten_004.png,0.0,100.0,100.0,0.0,6
handwritten_005.png,11.1,77.8,100.0,64.4,8
AVERAGE,14.4,70.9,93.0,,
