image,accuracy,cer,wer,confidence,missing
receipt_000.png,100.0,3.5,7.1,99.0,0
receipt_001.png,99.1,8.6,13.2,99.1,1
receipt_002.png,94.7,27.0,36.4,98.1,10
receipt_003.png,94.6,26.0,38.5,97.6,10
receipt_004.png,94.5,29.7,38.7,98.7,10
receipt_005.png,100.0,17.0,25.0,99.0,0
AVERAGE,97.1,18.6,26.5,,
