image,accuracy,cer,wer,confidence,missing
scene_000.png,100.0,0.0,0.0,100.0,0
scene_001.png,100.0,0.0,0.0,97.8,0
scene_002.png,100.0,0.0,0.0,89.0,0
scene_003.png,0.0,20.0,100.0,90.6,1
scene_004.png,0.0,20.0,100.0,82.6,1
scene_005.png,0.0,66.7,100.0,99.6,1
AVERAGE,50.0,17.8,50.0,,
